step,g_scalar,accum_norm,ema_grad_norm,loss_pos,loss_neg
363,2537.8684,100.0000,22.9479,95.8362,90.7605
364,-10350.5283,100.0000,22.9492,76.2556,96.9567
365,45867.2109,100.0000,22.9480,313.5453,221.8108
366,-2510.2368,100.0000,22.9460,38.8684,43.8888
367,-12184.1738,100.0000,22.9457,84.1453,108.5137
368,-60630.2812,100.0000,22.9427,340.6697,461.9302
369,-677.4197,100.0000,22.9419,54.5911,55.9459
370,-25786.1738,100.0000,22.9417,127.5217,179.0940
371,10524.4219,100.0000,22.9424,103.1832,82.1343
372,-372.0875,100.0000,22.9441,37.2641,38.0082
373,83541.1562,100.0000,22.9430,661.0454,493.9631
374,-9666.6719,100.0000,22.9448,79.4068,98.7402
375,7666.8550,100.0000,22.9493,371.0745,355.7408
376,-4458.7080,100.0000,22.9478,55.5634,64.4809
377,-70543.0469,100.0000,22.9488,274.6115,415.6975
378,6356.5752,100.0000,22.9475,154.7210,142.0079
379,-15151.5117,100.0000,22.9480,62.3239,92.6269
380,3070.1255,100.0000,22.9474,79.3457,73.2055
381,20419.6621,100.0000,22.9483,146.7131,105.8738
382,-2043.4495,100.0000,22.9500,36.1478,40.2347
383,-12070.1367,100.0000,22.9456,51.2056,75.3458
384,7042.3774,100.0000,22.9425,68.0934,54.0087
385,-24714.6230,100.0000,22.9437,134.1335,183.5628
386,3789.7529,100.0000,22.9447,59.1665,51.5870
387,37663.8203,100.0000,22.9460,279.4567,204.1291
388,-21319.5410,100.0000,22.9463,104.8260,147.4651
389,-7288.4712,100.0000,22.9407,42.9730,57.5499
390,-9976.0205,100.0000,22.9408,96.1599,116.1119
391,-9190.0830,100.0000,22.9402,118.6423,137.0224
392,-8655.1572,100.0000,22.9405,45.9217,63.2320
393,847.7097,100.0000,22.9430,241.8080,240.1126
394,6051.2085,100.0000,22.9418,98.9737,86.8713
395,-6396.2705,100.0000,22.9442,118.6737,131.4662
396,-18436.9199,100.0000,22.9435,132.1787,169.0525
397,844.9059,100.0000,22.9459,48.3644,46.6746
398,-27231.1172,100.0000,22.9411,108.0433,162.5055
399,97870.0859,100.0000,22.9437,607.7227,411.9825
400,-6617.5156,100.0000,22.9456,86.6661,99.9012
401,10710.6475,100.0000,22.9427,132.6031,111.1819
402,-158.1306,100.0000,22.9440,89.0857,89.4019
403,10973.3887,100.0000,22.9421,82.0037,60.0569
404,25447.1660,100.0000,22.9404,119.1307,68.2364
405,12000.9307,100.0000,22.9391,95.0235,71.0217
406,-9840.7344,100.0000,22.9392,46.3020,65.9834
407,26949.9844,100.0000,22.9335,105.9527,52.0528
408,9139.6025,100.0000,22.9346,245.9580,227.6788
409,-10438.4160,100.0000,22.9323,66.0565,86.9334
410,-5386.9150,100.0000,22.9321,48.1180,58.8918
411,-1777.9121,100.0000,22.9318,38.3148,41.8707
412,-20274.1094,100.0000,22.9349,516.1848,556.7330
413,-24612.3281,100.0000,22.9326,175.0109,224.2355
414,-27830.1387,100.0000,22.9317,277.5958,333.2561
415,38227.2500,100.0000,22.9383,302.4833,226.0288
416,-6043.0869,100.0000,22.9357,74.5990,86.6852
417,-15134.4375,100.0000,22.9330,154.3148,184.5836
418,629.4460,100.0000,22.9329,46.3148,45.0559
419,15922.8438,100.0000,22.9363,85.7144,53.8687
420,60045.9609,100.0000,22.9410,496.3200,376.2281
421,4264.0459,100.0000,22.9438,96.2342,87.7061
422,245.0581,100.0000,22.9405,36.9926,36.5025
423,25246.0332,100.0000,22.9386,285.7501,235.2581
424,-16477.5000,100.0000,22.9369,250.0830,283.0380
425,-4341.4175,100.0000,22.9390,43.5108,52.1937
426,11439.5215,100.0000,22.9425,112.6991,89.8201
427,-2153.5835,100.0000,22.9470,63.7307,68.0379
428,-3251.1101,100.0000,22.9432,93.0630,99.5652
429,11762.7715,100.0000,22.9450,99.5805,76.0550
430,5329.6816,100.0000,22.9414,82.0035,71.3442
431,26959.7363,100.0000,22.9395,114.1409,60.2214
432,18780.1523,100.0000,22.9369,88.1043,50.5440
433,-3659.7786,100.0000,22.9413,55.7822,63.1017
434,90174.1484,100.0000,22.9449,366.2844,185.9361
435,17496.4824,100.0000,22.9474,146.8580,111.8651
436,31890.4961,100.0000,22.9389,168.3815,104.6005
437,3005.9509,100.0000,22.9392,88.0377,82.0258
438,-869.2322,100.0000,22.9400,90.0427,91.7811
439,6609.7642,100.0000,22.9428,178.7890,165.5695
440,-1271.0447,100.0000,22.9377,26.2182,28.7603
441,-6966.9302,100.0000,22.9392,50.5240,64.4579
442,-11949.5186,100.0000,22.9390,51.0031,74.9022
443,-15971.3994,100.0000,22.9414,55.1753,87.1181
444,102086.4219,100.0000,22.9373,579.4925,375.3196
445,-7805.1299,100.0000,22.9362,80.6394,96.2497
446,-8450.5879,100.0000,22.9414,102.5623,119.4635
447,-3613.2756,100.0000,22.9388,34.0824,41.3090
448,-1097.6429,100.0000,22.9384,40.9918,43.1871
449,187.7499,100.0000,22.9422,57.9304,57.5549
450,-1777.2542,100.0000,22.9414,46.0566,49.6111
451,-82243.9141,100.0000,22.9423,392.7174,557.2052
452,6205.5435,100.0000,22.9438,108.2478,95.8367
453,-16675.7891,100.0000,22.9456,141.0090,174.3606
454,-3749.8645,100.0000,22.9442,35.5837,43.0835
455,-26827.9258,100.0000,22.9414,288.9619,342.6177
456,23428.2227,100.0000,22.9416,436.5350,389.6786
457,-4263.3975,100.0000,22.9432,130.4126,138.9394
458,5624.2446,100.0000,22.9442,78.9480,67.6995
459,18004.8672,100.0000,22.9409,329.5057,293.4960
460,39450.1719,100.0000,22.9445,194.2966,115.3962
461,8080.3833,100.0000,22.9413,261.4579,245.2971
462,-5501.9380,100.0000,22.9422,161.5685,172.5723
463,38653.2656,100.0000,22.9417,141.0609,63.7543
464,-92682.0547,100.0000,22.9403,131.5165,316.8806
465,-9954.7041,100.0000,22.9351,205.0674,224.9768
466,825.2773,100.0000,22.9349,49.5122,47.8616
467,-3311.0237,100.0000,22.9360,88.8738,95.4959
468,-1387.9814,100.0000,22.9352,30.6856,33.4615
469,-4562.9385,100.0000,22.9376,104.3295,113.4553
470,-3533.2871,100.0000,22.9409,32.9715,40.0381
471,5663.4980,100.0000,22.9376,53.3898,42.0628
472,86175.8281,100.0000,22.9414,449.8994,277.5478
473,29356.9023,100.0000,22.9399,102.8821,44.1683
474,-44598.8477,100.0000,22.9386,133.2626,222.4603
475,-6188.1235,100.0000,22.9401,50.0254,62.4017
476,-32372.5195,100.0000,22.9448,129.8681,194.6131
477,-874.6185,100.0000,22.9492,52.3651,54.1144
478,19749.6211,100.0000,22.9489,98.9124,59.4131
479,9579.3955,100.0000,22.9490,110.0351,90.8763
480,-7015.7202,100.0000,22.9467,103.7506,117.7821
481,-1218.4829,100.0000,22.9494,112.7260,115.1630
482,-930.0347,100.0000,22.9493,52.3978,54.2579
483,1726.3756,100.0000,22.9535,79.9391,76.4864
484,-3232.4839,100.0000,22.9512,29.8728,36.3378
485,55232.1719,100.0000,22.9470,217.0558,106.5915
486,-9925.7393,100.0000,22.9456,79.5956,99.4471
